Query #4:
Connected to Database: "schema2"

Running Query:
 select e.fname, e.lname
from employee as e
where e.ssn in ( 
select essn
from dependent as d
where e.fname != d.dependent_name
and 
e.sex!=d.sex );

Query Result Set:

------------------------------

fname                         lname                         
Employee1                     employee1                     
Employee2                     employee2                     
Employee3                     employee3                     
Employee4                     employee4                     
Employee5                     employee5                     
Employee6                     employee6                     
Employee7                     employee7                     
Employee8                     employee8                     
Employee9                     employee9                     
Employee10                    employee10                    
Employee11                    employee11                    
Employee12                    employee12                    
Employee13                    employee13                    
Employee14                    employee14                    
Employee15                    employee15                    
Employee16                    employee16                    
Employee17                    employee17                    
Employee18                    employee18                    
Employee19                    employee19                    
Employee20                    employee20                    
Employee21                    employee21                    
Employee22                    employee22                    
Employee23                    employee23                    
Employee24                    employee24                    
Employee25                    employee25                    
Employee26                    employee26                    
Employee27                    employee27                    
Employee28                    employee28                    
Employee29                    employee29                    
Employee30                    employee30                    
Employee31                    employee31                    
Employee32                    employee32                    
Employee33                    employee33                    
Employee34                    employee34                    
Employee35                    employee35                    
Employee36                    employee36                    
Employee37                    employee37                    
Employee38                    employee38                    
Employee39                    employee39                    
Employee40                    employee40                    
Employee41                    employee41                    
Employee42                    employee42                    
Employee43                    employee43                    
Employee44                    employee44                    
Employee45                    employee45                    
Employee46                    employee46                    
Employee47                    employee47                    
Employee48                    employee48                    
Employee49                    employee49                    
Employee50                    employee50                    
Employee51                    employee51                    
Employee52                    employee52                    
Employee53                    employee53                    
Employee54                    employee54                    
Employee55                    employee55                    
Employee56                    employee56                    
Employee57                    employee57                    
Employee58                    employee58                    
Employee59                    employee59                    
Employee60                    employee60                    
Employee61                    employee61                    
Employee62                    employee62                    
Employee63                    employee63                    
Employee64                    employee64                    
Employee65                    employee65                    
Employee66                    employee66                    
Employee67                    employee67                    
Employee68                    employee68                    
Employee69                    employee69                    
Employee70                    employee70                    
Employee71                    employee71                    
Employee72                    employee72                    
Employee73                    employee73                    
Employee74                    employee74                    
Employee75                    employee75                    
Employee76                    employee76                    
Employee77                    employee77                    
Employee78                    employee78                    
Employee79                    employee79                    
Employee80                    employee80                    
Employee81                    employee81                    
Employee82                    employee82                    
Employee83                    employee83                    
Employee84                    employee84                    
Employee85                    employee85                    
Employee86                    employee86                    
Employee87                    employee87                    
Employee88                    employee88                    
Employee89                    employee89                    
Employee90                    employee90                    
Employee91                    employee91                    
Employee92                    employee92                    
Employee93                    employee93                    
Employee94                    employee94                    
Employee95                    employee95                    
Employee96                    employee96                    
Employee97                    employee97                    
Employee98                    employee98                    
Employee99                    employee99                    
Employee100                   employee100                   
Employee101                   employee101                   
Employee102                   employee102                   
Employee103                   employee103                   
Employee104                   employee104                   
Employee105                   employee105                   
Employee106                   employee106                   
Employee107                   employee107                   
Employee108                   employee108                   
Employee109                   employee109                   
Employee110                   employee110                   
Employee111                   employee111                   
Employee112                   employee112                   
Employee113                   employee113                   
Employee114                   employee114                   
Employee115                   employee115                   
Employee116                   employee116                   
Employee117                   employee117                   
Employee118                   employee118                   
Employee119                   employee119                   
Employee120                   employee120                   
Employee121                   employee121                   
Employee122                   employee122                   
Employee123                   employee123                   
Employee124                   employee124                   
Employee125                   employee125                   
Employee126                   employee126                   
Employee127                   employee127                   
Employee128                   employee128                   
Employee129                   employee129                   
Employee130                   employee130                   
Employee131                   employee131                   
Employee132                   employee132                   
Employee133                   employee133                   
Employee134                   employee134                   
Employee135                   employee135                   
Employee136                   employee136                   
Employee137                   employee137                   
Employee138                   employee138                   
Employee139                   employee139                   
Employee140                   employee140                   
Employee141                   employee141                   
Employee142                   employee142                   
Employee143                   employee143                   
Employee144                   employee144                   
Employee145                   employee145                   
Employee146                   employee146                   
